PeriodStart,PeriodEnd,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2018-01-01 00:00:00+00:00,2018-01-01T01:00:00Z,PT60M,21.3,0.13,138,58.4,19.9,0,0,0,0,0,0,40.6,92.0,914.2,317,1.2,124
2018-01-01 01:00:00+00:00,2018-01-01T02:00:00Z,PT60M,21.0,0.13,153,50.5,19.5,0,0,0,0,0,0,40.1,91.4,914.1,315,1.2,132
2018-01-01 02:00:00+00:00,2018-01-01T03:00:00Z,PT60M,20.7,0.13,171,41.5,19.2,0,0,0,0,0,0,39.6,90.8,914.1,313,1.2,136
2018-01-01 03:00:00+00:00,2018-01-01T04:00:00Z,PT60M,20.5,0.12,-169,43.4,18.9,0,0,0,0,0,0,39.2,90.8,913.8,306,1.2,136
2018-01-01 04:00:00+00:00,2018-01-01T05:00:00Z,PT60M,20.2,0.12,-152,23.8,18.7,0,0,0,0,0,0,38.9,91.4,913.1,295,1.2,131
2018-01-01 05:00:00+00:00,2018-01-01T06:00:00Z,PT60M,19.9,0.12,-138,5.8,18.6,0,0,0,0,0,0,38.6,91.9,912.5,285,1.2,123
2018-01-01 06:00:00+00:00,2018-01-01T07:00:00Z,PT60M,19.7,0.12,-127,6.7,18.5,0,0,0,0,0,0,38.7,92.6,912.3,277,1.2,113
2018-01-01 07:00:00+00:00,2018-01-01T08:00:00Z,PT60M,19.5,0.12,-120,5.7,18.4,0,0,0,0,0,0,39.0,93.4,912.4,272,1.2,101
2018-01-01 08:00:00+00:00,2018-01-01T09:00:00Z,PT60M,19.3,0.12,-114,23.6,18.3,12,0,0,12,12,12,39.3,94.1,912.5,268,1.2,88
2018-01-01 09:00:00+00:00,2018-01-01T10:00:00Z,PT60M,20.0,0.12,-110,66.4,18.4,63,0,0,63,62,63,39.6,90.4,912.9,271,1.8,75
2018-01-01 10:00:00+00:00,2018-01-01T11:00:00Z,PT60M,21.6,0.12,-106,73.5,18.6,113,0,0,113,110,113,39.8,83.0,913.4,275,3.0,62
2018-01-01 11:00:00+00:00,2018-01-01T12:00:00Z,PT60M,23.1,0.12,-104,65.2,18.7,219,35,26,246,237,254,39.9,76.2,913.8,277,4.2,48
2018-01-01 12:00:00+00:00,2018-01-01T13:00:00Z,PT60M,24.4,0.12,-102,19.3,18.7,404,359,288,692,648,776,40.2,70.7,913.8,278,4.8,35
2018-01-01 13:00:00+00:00,2018-01-01T14:00:00Z,PT60M,25.4,0.12,-103,23.4,18.5,524,256,238,762,726,786,40.6,66.0,913.2,279,4.9,21
2018-01-01 14:00:00+00:00,2018-01-01T15:00:00Z,PT60M,26.3,0.12,-126,18.8,18.4,440,427,424,864,819,867,40.9,61.7,912.6,280,4.9,8
2018-01-01 15:00:00+00:00,2018-01-01T16:00:00Z,PT60M,26.4,0.12,122,36.0,18.7,444,237,233,676,646,681,41.4,62.7,912.0,279,4.7,8
2018-01-01 16:00:00+00:00,2018-01-01T17:00:00Z,PT60M,25.6,0.12,103,21.5,19.5,352,455,417,769,722,812,42.0,68.9,911.5,275,4.5,22
2018-01-01 17:00:00+00:00,2018-01-01T18:00:00Z,PT60M,24.8,0.12,102,24.0,20.2,408,295,229,637,599,712,42.5,75.7,911.0,271,4.2,35
2018-01-01 18:00:00+00:00,2018-01-01T19:00:00Z,PT60M,24.0,0.12,104,16.2,20.5,284,406,268,553,500,722,42.8,81.1,910.8,268,3.7,49
2018-01-01 19:00:00+00:00,2018-01-01T20:00:00Z,PT60M,23.1,0.12,106,57.0,20.3,172,27,12,184,177,202,42.9,84.6,910.8,267,3.0,63
2018-01-01 20:00:00+00:00,2018-01-01T21:00:00Z,PT60M,22.2,0.12,110,24.9,20.2,105,168,46,150,123,252,42.9,88.2,910.8,265,2.3,76
2018-01-01 21:00:00+00:00,2018-01-01T22:00:00Z,PT60M,21.9,0.12,114,3.3,20.0,14,58,6,20,12,13,42.3,89.4,911.0,271,1.9,89
2018-01-01 22:00:00+00:00,2018-01-01T23:00:00Z,PT60M,22.0,0.12,120,0.0,19.9,0,0,0,0,0,0,41.1,88.1,911.3,286,1.9,102
2018-01-01 23:00:00+00:00,2018-01-02T00:00:00Z,PT60M,22.0,0.12,128,0.0,19.8,0,0,0,0,0,0,40.0,86.9,911.6,299,2.0,113
2018-01-02 00:00:00+00:00,2018-01-02T01:00:00Z,PT60M,21.8,0.12,138,0.0,19.7,0,0,0,0,0,0,39.2,88.1,911.8,303,1.9,124
2018-01-02 01:00:00+00:00,2018-01-02T02:00:00Z,PT60M,21.1,0.12,152,0.0,19.8,0,0,0,0,0,0,38.8,91.8,911.9,298,1.6,132
2018-01-02 02:00:00+00:00,2018-01-02T03:00:00Z,PT60M,20.5,0.12,171,0.0,19.8,0,0,0,0,0,0,38.5,95.6,911.9,290,1.3,136
2018-01-02 03:00:00+00:00,2018-01-02T04:00:00Z,PT60M,20.1,0.12,-170,0.0,19.7,0,0,0,0,0,0,38.2,97.7,911.7,279,1.1,136
2018-01-02 04:00:00+00:00,2018-01-02T05:00:00Z,PT60M,19.8,0.12,-152,0.0,19.5,0,0,0,0,0,0,37.9,98.2,911.3,268,1.2,131
2018-01-02 05:00:00+00:00,2018-01-02T06:00:00Z,PT60M,19.6,0.12,-138,0.0,19.4,0,0,0,0,0,0,37.6,98.6,910.9,257,1.3,123
2018-01-02 06:00:00+00:00,2018-01-02T07:00:00Z,PT60M,19.5,0.12,-127,0.0,19.2,0,0,0,0,0,0,37.2,98.7,910.8,251,1.3,113
2018-01-02 07:00:00+00:00,2018-01-02T08:00:00Z,PT60M,19.4,0.12,-120,0.0,19.1,0,0,0,0,0,0,36.7,98.5,910.9,247,1.1,101
2018-01-02 08:00:00+00:00,2018-01-02T09:00:00Z,PT60M,19.3,0.12,-114,19.8,19.1,10,15,1,11,9,9,36.2,98.2,911.0,241,1.0,89
2018-01-02 09:00:00+00:00,2018-01-02T10:00:00Z,PT60M,19.9,0.12,-110,83.5,19.3,30,0,0,30,30,30,36.2,96.0,911.2,252,1.3,75
2018-01-02 10:00:00+00:00,2018-01-02T11:00:00Z,PT60M,21.2,0.12,-106,67.3,19.9,151,0,0,151,147,151,36.6,92.0,911.4,265,2.2,62
2018-01-02 11:00:00+00:00,2018-01-02T12:00:00Z,PT60M,22.5,0.12,-104,64.9,20.4,245,0,0,245,239,245,36.9,88.2,911.6,270,3.1,48
2018-01-02 12:00:00+00:00,2018-01-02T13:00:00Z,PT60M,23.2,0.12,-102,52.7,20.9,405,0,0,405,395,405,37.0,87.2,911.5,273,3.6,35
2018-01-02 13:00:00+00:00,2018-01-02T14:00:00Z,PT60M,23.3,0.12,-103,54.1,21.4,461,0,0,461,450,461,36.9,88.8,911.0,276,3.8,21
2018-01-02 14:00:00+00:00,2018-01-02T15:00:00Z,PT60M,23.4,0.12,-125,29.9,21.8,593,159,159,752,724,752,36.9,90.5,910.6,279,4.0,8
2018-01-02 15:00:00+00:00,2018-01-02T16:00:00Z,PT60M,23.7,0.12,122,30.2,21.9,605,142,140,746,719,748,36.9,89.6,910.0,280,4.1,8
2018-01-02 16:00:00+00:00,2018-01-02T17:00:00Z,PT60M,24.1,0.12,103,23.6,21.7,365,427,391,756,712,796,37.0,86.4,909.1,281,3.9,21
2018-01-02 17:00:00+00:00,2018-01-02T18:00:00Z,PT60M,24.5,0.12,102,12.7,21.5,332,501,414,746,691,853,37.1,83.4,908.3,282,3.7,35
2018-01-02 18:00:00+00:00,2018-01-02T19:00:00Z,PT60M,24.7,0.12,104,29.8,21.1,342,174,122,464,437,532,37.3,80.3,907.8,286,3.4,49
2018-01-02 19:00:00+00:00,2018-01-02T20:00:00Z,PT60M,24.8,0.12,106,28.3,20.5,222,190,91,313,283,438,37.8,77.2,907.7,294,3.1,63
2018-01-02 20:00:00+00:00,2018-01-02T21:00:00Z,PT60M,24.8,0.12,110,27.9,19.9,89,154,34,123,98,193,38.2,74.3,907.6,304,2.8,76
2018-01-02 21:00:00+00:00,2018-01-02T22:00:00Z,PT60M,24.8,0.12,114,0.6,19.6,14,63,6,20,12,13,38.7,73.2,907.8,307,2.7,89
2018-01-02 22:00:00+00:00,2018-01-02T23:00:00Z,PT60M,24.7,0.12,120,0.0,19.7,0,0,0,0,0,0,39.4,73.8,908.5,304,2.6,102
2018-01-02 23:00:00+00:00,2018-01-03T00:00:00Z,PT60M,24.6,0.12,128,0.0,19.8,0,0,0,0,0,0,40.0,74.4,909.1,300,2.5,113
2018-01-03 00:00:00+00:00,2018-01-03T01:00:00Z,PT60M,24.2,0.12,138,0.0,19.5,0,0,0,0,0,0,40.4,75.0,909.5,297,2.7,124
2018-01-03 01:00:00+00:00,2018-01-03T02:00:00Z,PT60M,23.4,0.12,152,0.0,18.8,0,0,0,0,0,0,40.6,75.6,909.8,293,3.0,132
2018-01-03 02:00:00+00:00,2018-01-03T03:00:00Z,PT60M,22.6,0.12,170,0.0,18.2,0,0,0,0,0,0,40.7,76.3,910.1,291,3.4,136
2018-01-03 03:00:00+00:00,2018-01-03T04:00:00Z,PT60M,21.9,0.12,-170,0.0,17.9,0,0,0,0,0,0,40.7,77.8,910.0,290,3.4,136
2018-01-03 04:00:00+00:00,2018-01-03T05:00:00Z,PT60M,21.4,0.12,-152,0.0,17.8,0,0,0,0,0,0,40.5,80.0,909.6,292,3.0,132
